9.73309e-06	78702	931	420367	
0.0152561	78649	970	420381	
0.030058	78530	1015	420455	
0.0437579	78448	1028	420524	
0.0577389	78343	1015	420642	
0.0725295	78346	957	420697	
0.0876613	78345	952	420703	
0.102578	78259	943	420798	
0.117798	78277	906	420817	
0.133444	78252	982	420766	
0.148544	78208	940	420852	
0.16342	78211	987	420802	
0.177903	78156	985	420859	
0.191825	77995	1078	420927	
0.2053	77857	1128	421015	
0.219025	77705	1113	421182	
0.232261	77542	1132	421326	
0.246161	77440	1140	421420	
0.259602	77222	1197	421581	
0.272675	77025	1182	421793	
0.285655	76788	1208	422004	
0.297894	76580	1209	422211	
0.311117	76387	1150	422463	
0.32416	76243	1155	422602	
0.337556	76066	1169	422765	
0.350552	75872	1184	422944	
0.362985	75697	1200	423103	
0.375802	75449	1251	423300	
0.388582	75214	1273	423513	
0.401018	75028	1182	423790	
0.414402	74947	1127	423926	
0.428022	74932	1093	423975	
0.441733	74851	1044	424105	
0.455961	74749	1037	424214	
0.471175	74774	977	424249	
0.48548	74798	988	424214	
0.50009	74745	982	424273	
0.514748	74753	983	424264	
0.529494	74771	946	424283	
0.545043	74757	925	424318	
0.560002	74713	979	424308	
0.575406	74747	898	424355	
0.591314	74847	874	424279	
0.607337	74882	836	424282	
0.624001	74978	832	424190	
0.641015	75221	759	424020	
0.65843	75381	726	423893	
0.677057	75632	709	423659	
0.695633	75876	730	423394	
0.713633	76107	723	423170	
0.731295	76254	734	423012	
0.749512	76591	692	422717	
0.767793	76858	772	422370	
0.78445	76941	872	422187	
0.800739	76986	871	422143	
0.817162	77221	802	421977	
0.834148	77373	716	421911	
0.852062	77546	780	421674	
0.869328	77669	812	421519	
0.886816	77851	813	421336	
0.903588	78021	793	421186	
0.920664	78119	803	421078	
0.936955	78184	867	420949	
0.95317	78268	836	420896	
0.969535	78360	822	420818	
0.98608	78410	880	420710	
1.002	78468	871	420661	
1.01742	78476	908	420616	
1.03301	78472	924	420604	
1.04772	78386	951	420663	
1.06252	78387	930	420683	
1.07813	78378	926	420696	
1.09416	78350	945	420705	
1.10938	78388	931	420681	
1.12493	78468	857	420675	
1.1409	78467	945	420588	
1.1562	78475	931	420594	
1.17176	78569	922	420509	
1.18718	78539	954	420507	
1.20199	78462	966	420572	
1.21671	78416	961	420623	
1.23194	78418	974	420608	
1.24673	78297	1065	420638	
1.26056	78111	1130	420759	
1.27392	77961	1126	420913	
1.28761	77659	1192	421149	
1.30084	77419	1176	421405	
1.31371	77205	1162	421633	
1.32694	77105	1148	421747	
1.34044	76925	1162	421913	
1.35386	76752	1129	422119	
1.3673	76564	1192	422244	
1.38016	76338	1181	422481	
1.39321	76188	1165	422647	
1.40626	75979	1165	422856	
1.41912	75825	1211	422964	
1.43164	75650	1200	423150	
1.44448	75455	1175	423370	
1.45775	75324	1127	423549	
1.47201	75278	1098	423624	
1.48535	75155	1091	423754	
1.49942	75141	1004	423855	
1.51384	75072	985	423943	
1.52878	75047	1028	423925	
1.5431	74915	1066	424019	
1.55719	74791	1112	424097	
1.57105	74617	1093	424290	
1.58539	74564	1045	424391	
1.59979	74480	1014	424506	
1.61522	74540	950	424510	
1.63096	74592	881	424527	
1.64744	74743	869	424388	
1.66341	74779	859	424362	
1.67982	74790	857	424353	
1.69626	74937	835	424228	
1.71326	75104	809	424087	
1.73084	75244	813	423943	
1.74741	75398	807	423795	
1.7642	75549	819	423632	
1.78146	75728	790	423482	
1.79851	75937	761	423302	
1.81628	76135	715	423150	
1.83405	76363	690	422947	
1.85208	76566	739	422695	
1.87054	76829	653	422518	
1.88997	77159	703	422138	
1.90745	77346	718	421936	
1.92634	77503	730	421767	
1.94502	77792	658	421550	
1.96393	78037	719	421244	
1.98194	78281	713	421006	
1.99926	78452	721	420827	
2.01739	78599	726	420675	
2.03514	78762	753	420485	
2.05292	78912	782	420306	
2.07002	79059	784	420157	
2.08734	79215	804	419981	
2.10354	79224	872	419904	
2.12018	79270	833	419897	
2.13654	79312	859	419829	
2.15288	79349	874	419777	
2.16806	79261	911	419828	
2.18331	79247	920	419833	
2.19838	79221	926	419853	
2.21338	79241	945	419814	
2.22868	79187	989	419824	
2.24354	79104	995	419901	
2.25756	79088	1014	419898	
2.27158	78976	1027	419997	
2.28586	78940	1014	420046	
2.30006	78836	1044	420120	
2.31384	78694	1078	420228	
2.32743	78510	1097	420393	
2.34113	78347	1128	420525	
2.35476	78251	1109	420640	
2.36865	78141	1097	420762	
2.38285	77921	1146	420933	
2.39639	77717	1232	421051	
2.40913	77473	1230	421297	
2.42202	77243	1212	421545	
2.43503	77038	1240	421722	
2.44724	76802	1270	421928	
2.45955	76501	1340	422159	
2.47131	76241	1313	422446	
2.48296	75954	1325	422721	
2.49459	75649	1367	422984	
2.50657	75387	1422	423191	
2.51838	75127	1428	423445	
2.53018	74962	1373	423665	
2.54273	74714	1334	423952	
2.55478	74447	1333	424220	
2.56693	74145	1351	424504	
2.57885	73937	1271	424792	
2.59123	73714	1278	425008	
2.60377	73525	1199	425276	
2.61694	73342	1180	425478	
2.63002	73171	1164	425665	
2.64376	73026	1105	425869	
2.65781	72949	1063	425988	
2.67276	72870	1064	426066	
2.68708	72828	1015	426157	
2.70166	72771	1017	426212	
2.71689	72826	966	426208	
2.73214	72867	925	426208	
2.74782	72903	876	426221	
2.76404	73045	846	426109	
2.78065	73228	842	425930	
2.79691	73348	877	425775	
2.81316	73477	789	425734	
2.83056	73747	770	425483	
2.84888	74010	711	425279	
2.86813	74358	623	425019	
2.88842	74789	561	424650	
2.90913	75302	554	424144	
2.93036	75704	595	423701	
2.95018	76086	616	423298	
2.97012	76543	577	422880	
2.99119	77052	536	422412	
3.01265	77513	552	421935	
3.03366	77905	586	421509	
3.05229	78183	641	421176	
3.07131	78496	668	420836	
3.08981	78713	734	420553	
3.10772	78891	752	420357	
